name,email,phone,location,total_spent,order_count,level,created_at,last_purchase_at
Customer_0001,customer0001@example.com,0900000001,HaNoi,102392535,192,diamond,2025-04-02T00:00:00,2025-12-24T10:00:00
Customer_0002,customer0002@example.com,0900000002,HoChiMinh,174619855,14,diamond,2024-07-25T00:00:00,2024-06-10T10:00:00
Customer_0003,customer0003@example.com,0900000003,DaNang,121529986,114,diamond,2025-05-07T00:00:00,2025-07-01T10:00:00
Customer_0004,customer0004@example.com,0900000004,HaiPhong,119319168,14,diamond,2024-11-07T00:00:00,2024-11-24T10:00:00
Customer_0005,customer0005@example.com,0900000005,CanTho,105077013,75,diamond,2023-10-02T00:00:00,2024-07-06T10:00:00
Customer_0006,customer0006@example.com,0900000006,Hue,117382975,96,diamond,2025-12-10T00:00:00,2024-05-03T10:00:00
Customer_0007,customer0007@example.com,0900000007,NhaTrang,92495156,166,diamond,2024-02-29T00:00:00,2024-04-29T10:00:00
Customer_0008,customer0008@example.com,0900000008,VungTau,104645237,136,diamond,2024-09-10T00:00:00,2024-04-21T10:00:00
Customer_0009,customer0009@example.com,0900000009,BinhDuong,154559467,141,diamond,2023-08-23T00:00:00,2025-06-17T10:00:00
Customer_0010,customer0010@example.com,0900000010,BacNinh,128119293,142,diamond,2023-08-25T00:00:00,2024-09-18T10:00:00
Customer_0011,customer0011@example.com,0900000011,HaNoi,154422306,112,diamond,2023-09-29T00:00:00,2024-10-03T10:00:00
Customer_0012,customer0012@example.com,0900000012,HoChiMinh,120543254,55,diamond,2025-07-08T00:00:00,2025-12-11T10:00:00
Customer_0013,customer0013@example.com,0900000013,DaNang,140611398,12,diamond,2025-01-17T00:00:00,2025-11-03T10:00:00
Customer_0014,customer0014@example.com,0900000014,HaiPhong,164272211,52,diamond,2023-04-26T00:00:00,2025-05-31T10:00:00
Customer_0015,customer0015@example.com,0900000015,CanTho,139383149,218,diamond,2025-08-18T00:00:00,2025-02-18T10:00:00
Customer_0016,customer0016@example.com,0900000016,Hue,125287821,206,diamond,2024-03-24T00:00:00,2025-08-02T10:00:00
Customer_0017,customer0017@example.com,0900000017,NhaTrang,173929126,243,diamond,2023-12-01T00:00:00,2024-05-11T10:00:00
Customer_0018,customer0018@example.com,0900000018,VungTau,80969811,193,diamond,2024-11-16T00:00:00,2024-05-14T10:00:00
Customer_0019,customer0019@example.com,0900000019,BinhDuong,154812749,138,diamond,2025-08-27T00:00:00,2025-10-27T10:00:00
Customer_0020,customer0020@example.com,0900000020,BacNinh,81188682,111,diamond,2023-04-20T00:00:00,2025-07-08T10:00:00
Customer_0021,customer0021@example.com,0900000021,HaNoi,143582537,96,diamond,2025-06-11T00:00:00,2024-07-17T10:00:00
Customer_0022,customer0022@example.com,0900000022,HoChiMinh,89268601,86,diamond,2025-06-16T00:00:00,2025-01-24T10:00:00
Customer_0023,customer0023@example.com,0900000023,DaNang,153949397,143,diamond,2024-01-19T00:00:00,2025-07-27T10:00:00
Customer_0024,customer0024@example.com,0900000024,HaiPhong,125625049,79,diamond,2024-09-15T00:00:00,2025-03-19T10:00:00
Customer_0025,customer0025@example.com,0900000025,CanTho,151771550,8,diamond,2025-05-24T00:00:00,2025-07-05T10:00:00
Customer_0026,customer0026@example.com,0900000026,Hue,138872484,75,diamond,2024-05-14T00:00:00,2025-08-25T10:00:00
Customer_0027,customer0027@example.com,0900000027,NhaTrang,110957303,65,diamond,2025-11-29T00:00:00,2024-08-03T10:00:00
Customer_0028,customer0028@example.com,0900000028,VungTau,156073501,181,diamond,2024-01-16T00:00:00,2024-02-15T10:00:00
Customer_0029,customer0029@example.com,0900000029,BinhDuong,130824326,75,diamond,2024-05-26T00:00:00,2024-07-16T10:00:00
Customer_0030,customer0030@example.com,0900000030,BacNinh,176425058,79,diamond,2024-04-30T00:00:00,2024-10-29T10:00:00
Customer_0031,customer0031@example.com,0900000031,HaNoi,94432813,23,diamond,2023-12-21T00:00:00,2025-01-01T10:00:00
Customer_0032,customer0032@example.com,0900000032,HoChiMinh,169055308,159,diamond,2024-03-31T00:00:00,2025-06-10T10:00:00
Customer_0033,customer0033@example.com,0900000033,DaNang,84382343,66,diamond,2025-01-26T00:00:00,2025-05-10T10:00:00
Customer_0034,customer0034@example.com,0900000034,HaiPhong,103409941,169,diamond,2023-03-03T00:00:00,2025-07-19T10:00:00
Customer_0035,customer0035@example.com,0900000035,CanTho,156211074,185,diamond,2025-05-11T00:00:00,2024-05-31T10:00:00
Customer_0036,customer0036@example.com,0900000036,Hue,94015449,218,diamond,2023-04-22T00:00:00,2025-12-18T10:00:00
Customer_0037,customer0037@example.com,0900000037,NhaTrang,151885017,147,diamond,2025-06-29T00:00:00,2024-06-21T10:00:00
Customer_0038,customer0038@example.com,0900000038,VungTau,124452667,27,diamond,2025-10-22T00:00:00,2024-10-12T10:00:00
Customer_0039,customer0039@example.com,0900000039,BinhDuong,99939410,118,diamond,2025-06-18T00:00:00,2024-08-11T10:00:00
Customer_0040,customer0040@example.com,0900000040,BacNinh,176881721,216,diamond,2025-03-09T00:00:00,2024-03-30T10:00:00
Customer_0041,customer0041@example.com,0900000041,HaNoi,113894651,146,diamond,2023-07-13T00:00:00,2025-11-21T10:00:00
Customer_0042,customer0042@example.com,0900000042,HoChiMinh,118781882,211,diamond,2023-07-16T00:00:00,2025-03-14T10:00:00
Customer_0043,customer0043@example.com,0900000043,DaNang,135042114,235,diamond,2025-01-06T00:00:00,2024-02-13T10:00:00
Customer_0044,customer0044@example.com,0900000044,HaiPhong,168494417,154,diamond,2023-02-10T00:00:00,2024-11-16T10:00:00
Customer_0045,customer0045@example.com,0900000045,CanTho,99797854,124,diamond,2024-07-21T00:00:00,2024-11-25T10:00:00
Customer_0046,customer0046@example.com,0900000046,Hue,84144173,18,diamond,2023-08-28T00:00:00,2025-07-07T10:00:00
Customer_0047,customer0047@example.com,0900000047,NhaTrang,117046412,189,diamond,2023-11-10T00:00:00,2024-09-07T10:00:00
Customer_0048,customer0048@example.com,0900000048,VungTau,171842419,59,diamond,2023-08-05T00:00:00,2025-08-22T10:00:00
Customer_0049,customer0049@example.com,0900000049,BinhDuong,105359178,216,diamond,2024-07-24T00:00:00,2025-11-04T10:00:00
Customer_0050,customer0050@example.com,0900000050,BacNinh,124940636,201,diamond,2023-03-29T00:00:00,2025-11-16T10:00:00
Customer_0051,customer0051@example.com,0900000051,HaNoi,61020239,195,gold,2023-01-28T00:00:00,2025-01-26T10:00:00
Customer_0052,customer0052@example.com,0900000052,HoChiMinh,66936632,15,gold,2024-05-30T00:00:00,2025-07-09T10:00:00
Customer_0053,customer0053@example.com,0900000053,DaNang,57696478,75,gold,2023-03-25T00:00:00,2025-06-20T10:00:00
Customer_0054,customer0054@example.com,0900000054,HaiPhong,70948624,22,gold,2024-01-30T00:00:00,2025-07-22T10:00:00
Customer_0055,customer0055@example.com,0900000055,CanTho,59264773,98,gold,2024-03-07T00:00:00,2024-08-16T10:00:00
