employee_id,first_name,last_name,email,phone,date_of_birth,gender,address,city,department,position,hire_date,salary,employment_type,status,manager,notes
EMP0001,First0001,Last0001,emp0001@example.com,0800000001,2002-03-11,male,Addr_0001_HaNoi,HaNoi,Sales,Staff,2023-05-18,625526295.00,full-time,active,Manager_0001,demo_data
EMP0002,First0002,Last0002,emp0002@example.com,0800000002,1999-10-13,female,Addr_0002_HoChiMinh,HoChiMinh,Marketing,Senior,2024-12-31,1691676383.00,part-time,on-leave,Manager_0002,demo_data
EMP0003,First0003,Last0003,emp0003@example.com,0800000003,1981-04-16,other,Addr_0003_DaNang,DaNang,Operations,Lead,2019-09-21,940599731.00,contract,resigned,Manager_0003,demo_data
EMP0004,First0004,Last0004,emp0004@example.com,0800000004,2002-12-16,male,Addr_0004_HaiPhong,HaiPhong,Finance,Manager,2019-04-10,2108013919.00,intern,terminated,Manager_0004,demo_data
EMP0005,First0005,Last0005,emp0005@example.com,0800000005,1987-08-07,female,Addr_0005_CanTho,CanTho,IT,Analyst,2022-08-27,1212633688.00,full-time,active,Manager_0005,demo_data
EMP0006,First0006,Last0006,emp0006@example.com,0800000006,1997-03-25,other,Addr_0006_Hue,Hue,HR,Engineer,2019-07-03,551480904.00,part-time,on-leave,Manager_0006,demo_data
EMP0007,First0007,Last0007,emp0007@example.com,0800000007,1998-12-11,male,Addr_0007_NhaTrang,NhaTrang,Support,Specialist,2024-06-28,117448477.00,contract,resigned,Manager_0007,demo_data
EMP0008,First0008,Last0008,emp0008@example.com,0800000008,1987-09-27,female,Addr_0008_VungTau,VungTau,Sales,Staff,2023-08-03,450020441.00,intern,terminated,Manager_0008,demo_data
EMP0009,First0009,Last0009,emp0009@example.com,0800000009,1981-11-17,other,Addr_0009_BinhDuong,BinhDuong,Marketing,Senior,2024-07-19,2179828527.00,full-time,active,Manager_0009,demo_data
EMP0010,First0010,Last0010,emp0010@example.com,0800000010,1990-07-27,male,Addr_0010_BacNinh,BacNinh,Operations,Lead,2017-04-10,2101079892.00,part-time,on-leave,Manager_0010,demo_data
EMP0011,First0011,Last0011,emp0011@example.com,0800000011,1993-06-17,female,Addr_0011_HaNoi,HaNoi,Finance,Manager,2016-07-02,2189609482.00,contract,resigned,Manager_0011,demo_data
EMP0012,First0012,Last0012,emp0012@example.com,0800000012,2002-12-25,other,Addr_0012_HoChiMinh,HoChiMinh,IT,Analyst,2018-06-24,2006592227.00,intern,terminated,Manager_0012,demo_data
EMP0013,First0013,Last0013,emp0013@example.com,0800000013,1998-06-28,male,Addr_0013_DaNang,DaNang,HR,Engineer,2019-05-22,1412170214.00,full-time,active,Manager_0013,demo_data
EMP0014,First0014,Last0014,emp0014@example.com,0800000014,1993-03-14,female,Addr_0014_HaiPhong,HaiPhong,Support,Specialist,2021-11-02,1817654541.00,part-time,on-leave,Manager_0014,demo_data
EMP0015,First0015,Last0015,emp0015@example.com,0800000015,1993-02-22,other,Addr_0015_CanTho,CanTho,Sales,Staff,2025-04-09,174240317.00,contract,resigned,Manager_0015,demo_data
EMP0016,First0016,Last0016,emp0016@example.com,0800000016,1989-04-25,male,Addr_0016_Hue,Hue,Marketing,Senior,2020-08-18,2018214654.00,intern,terminated,Manager_0016,demo_data
EMP0017,First0017,Last0017,emp0017@example.com,0800000017,1980-05-26,female,Addr_0017_NhaTrang,NhaTrang,Operations,Lead,2019-09-12,82470743.00,full-time,active,Manager_0017,demo_data
EMP0018,First0018,Last0018,emp0018@example.com,0800000018,1996-03-28,other,Addr_0018_VungTau,VungTau,Finance,Manager,2016-07-05,228942465.00,part-time,on-leave,Manager_0018,demo_data
EMP0019,First0019,Last0019,emp0019@example.com,0800000019,2003-09-10,male,Addr_0019_BinhDuong,BinhDuong,IT,Analyst,2020-01-26,814389397.00,contract,resigned,Manager_0019,demo_data
EMP0020,First0020,Last0020,emp0020@example.com,0800000020,2002-09-08,female,Addr_0020_BacNinh,BacNinh,HR,Engineer,2022-04-21,1381175239.00,intern,terminated,Manager_0020,demo_data
EMP0021,First0021,Last0021,emp0021@example.com,0800000021,1999-08-25,other,Addr_0021_HaNoi,HaNoi,Support,Specialist,2020-03-26,496921517.00,full-time,active,Manager_0021,demo_data
EMP0022,First0022,Last0022,emp0022@example.com,0800000022,1981-01-06,male,Addr_0022_HoChiMinh,HoChiMinh,Sales,Staff,2015-06-09,1403689226.00,part-time,on-leave,Manager_0022,demo_data
EMP0023,First0023,Last0023,emp0023@example.com,0800000023,1994-03-13,female,Addr_0023_DaNang,DaNang,Marketing,Senior,2017-07-31,1112690708.00,contract,resigned,Manager_0023,demo_data
EMP0024,First0024,Last0024,emp0024@example.com,0800000024,1982-09-11,other,Addr_0024_HaiPhong,HaiPhong,Operations,Lead,2023-06-22,246359320.00,intern,terminated,Manager_0024,demo_data
EMP0025,First0025,Last0025,emp0025@example.com,0800000025,1989-12-18,male,Addr_0025_CanTho,CanTho,Finance,Manager,2016-01-19,2127144809.00,full-time,active,Manager_0025,demo_data
EMP0026,First0026,Last0026,emp0026@example.com,0800000026,1998-02-19,female,Addr_0026_Hue,Hue,IT,Analyst,2023-08-05,523849413.00,part-time,on-leave,Manager_0026,demo_data
EMP0027,First0027,Last0027,emp0027@example.com,0800000027,1989-07-26,other,Addr_0027_NhaTrang,NhaTrang,HR,Engineer,2019-02-10,1679032786.00,contract,resigned,Manager_0027,demo_data
EMP0028,First0028,Last0028,emp0028@example.com,0800000028,1987-09-20,male,Addr_0028_VungTau,VungTau,Support,Specialist,2020-04-08,1794048329.00,intern,terminated,Manager_0028,demo_data
EMP0029,First0029,Last0029,emp0029@example.com,0800000029,1992-04-17,female,Addr_0029_BinhDuong,BinhDuong,Sales,Staff,2017-12-11,849824307.00,full-time,active,Manager_0029,demo_data
EMP0030,First0030,Last0030,emp0030@example.com,0800000030,2002-06-13,other,Addr_0030_BacNinh,BacNinh,Marketing,Senior,2025-02-06,2060600741.00,part-time,on-leave,Manager_0030,demo_data
